trade_id,entry_time,exit_time,duration_days,side,entry_price,exit_price,pnl,return_pct,trade_result,exit_reason
TRD_000001,2024-01-01 16:00,2024-01-03 20:00,2.17,LONG,43531.05,42832.38,-180.34,-1.8%,LOSS,sell_signal
TRD_000002,2024-01-05 00:00,2024-01-13 00:00,8.0,LONG,43478.25,42597.16,-218.44,-2.22%,LOSS,sell_signal
TRD_000003,2024-01-26 16:00,2024-02-02 04:00,6.5,LONG,42077.11,43073.96,208.03,2.17%,WIN,sell_signal
TRD_000004,2024-02-03 00:00,2024-02-04 20:00,1.83,LONG,43186.89,42570.11,-159.57,-1.63%,LOSS,sell_signal
TRD_000005,2024-02-05 04:00,2024-02-07 00:00,1.83,LONG,43084.8,42787.16,-85.9,-0.89%,LOSS,sell_signal
TRD_000006,2024-02-07 08:00,2024-02-18 16:00,11.33,LONG,42941.17,51742.59,1939.15,20.28%,WIN,sell_signal
TRD_000007,2024-02-19 04:00,2024-02-22 00:00,2.83,LONG,52409.76,51570.62,-207.0,-1.8%,LOSS,sell_signal
TRD_000008,2024-02-26 12:00,2024-03-07 00:00,9.5,LONG,52858.17,65827.54,2746.23,24.31%,WIN,sell_signal
TRD_000009,2024-03-07 04:00,2024-03-15 16:00,8.5,LONG,66407.7,68943.31,507.55,3.61%,WIN,sell_signal
TRD_000010,2024-03-25 00:00,2024-03-30 04:00,5.17,LONG,67370.2,69831.22,501.87,3.45%,WIN,sell_signal
TRD_000011,2024-03-31 12:00,2024-04-01 04:00,0.67,LONG,70402.24,69574.06,-206.99,-1.38%,LOSS,sell_signal
TRD_000012,2024-04-06 20:00,2024-04-10 04:00,3.33,LONG,68916.67,69315.48,56.13,0.38%,WIN,sell_signal
TRD_000013,2024-04-12 04:00,2024-04-12 16:00,0.5,LONG,70785.24,66823.93,-862.85,-5.79%,LOSS,sell_signal
TRD_000014,2024-04-22 00:00,2024-04-24 20:00,2.83,LONG,65723.21,64270.3,-338.09,-2.41%,LOSS,sell_signal
TRD_000015,2024-05-04 20:00,2024-05-07 20:00,3.0,LONG,63911.21,62293.39,-373.84,-2.73%,LOSS,sell_signal
TRD_000016,2024-05-13 12:00,2024-05-23 16:00,10.17,LONG,63020.9,67179.82,851.88,6.39%,WIN,sell_signal
TRD_000017,2024-05-26 04:00,2024-05-29 04:00,3.0,LONG,69360.95,67926.52,-321.27,-2.27%,LOSS,sell_signal
TRD_000018,2024-06-03 04:00,2024-06-09 00:00,5.83,LONG,68927.37,69238.6,34.79,0.25%,WIN,sell_signal
TRD_000019,2024-06-30 20:00,2024-07-03 04:00,2.33,LONG,62790.84,60851.75,-456.34,-3.29%,LOSS,sell_signal
TRD_000020,2024-07-10 04:00,2024-07-13 00:00,2.83,LONG,58995.68,57796.66,-299.65,-2.23%,LOSS,sell_signal
TRD_000021,2024-07-13 20:00,2024-07-19 08:00,5.5,LONG,59221.78,64096.77,1053.92,8.02%,WIN,sell_signal
TRD_000022,2024-07-19 12:00,2024-07-23 20:00,4.33,LONG,65856.52,65916.23,-15.53,-0.11%,LOSS,sell_signal
TRD_000023,2024-07-27 00:00,2024-07-31 00:00,4.0,LONG,67818.34,66038.18,-400.02,-2.82%,LOSS,sell_signal
TRD_000024,2024-08-09 12:00,2024-08-12 20:00,3.33,LONG,59828.17,59328.84,-142.39,-1.03%,LOSS,sell_signal
TRD_000025,2024-08-14 00:00,2024-08-15 16:00,1.67,LONG,60971.12,57030.35,-907.42,-6.66%,LOSS,stop_loss
TRD_000026,2024-08-18 08:00,2024-08-27 12:00,9.17,LONG,60042.02,61690.62,323.57,2.54%,WIN,sell_signal
TRD_000027,2024-09-10 20:00,2024-09-16 12:00,5.67,LONG,57653.28,57864.33,21.62,0.17%,WIN,sell_signal
TRD_000028,2024-09-18 04:00,2024-09-24 16:00,6.5,LONG,60446.14,64273.05,800.45,6.12%,WIN,sell_signal
TRD_000029,2024-09-24 20:00,2024-09-30 08:00,5.5,LONG,64281.98,63800.29,-131.56,-0.95%,LOSS,sell_signal
TRD_000030,2024-10-07 00:00,2024-10-09 00:00,2.0,LONG,63549.57,62375.35,-281.06,-2.05%,LOSS,sell_signal
TRD_000031,2024-10-12 12:00,2024-10-22 12:00,10.0,LONG,63176.44,67262.09,842.48,6.26%,WIN,sell_signal
TRD_000032,2024-10-27 12:00,2024-11-01 12:00,5.0,LONG,67812.33,69366.95,298.89,2.09%,WIN,sell_signal
TRD_000033,2024-11-06 08:00,2024-11-25 08:00,19.0,LONG,74294.29,98158.63,4655.29,31.89%,WIN,sell_signal
TRD_000034,2024-11-29 08:00,2024-12-02 08:00,3.0,LONG,97267.08,95100.14,-467.01,-2.43%,LOSS,sell_signal
TRD_000035,2024-12-05 00:00,2024-12-05 20:00,0.83,LONG,102994.89,96916.55,-1145.17,-6.1%,LOSS,stop_loss
TRD_000036,2024-12-07 08:00,2024-12-10 04:00,2.83,LONG,99649.89,97167.28,-474.35,-2.69%,LOSS,sell_signal
TRD_000037,2024-12-11 20:00,2024-12-19 00:00,7.17,LONG,101155.34,101162.79,-33.07,-0.19%,LOSS,sell_signal
TRD_000038,2025-01-02 08:00,2025-01-08 12:00,6.17,LONG,96762.01,95465.12,-263.68,-1.54%,LOSS,sell_signal
TRD_000039,2025-01-15 00:00,2025-01-21 20:00,6.83,LONG,97346.32,106111.98,1483.85,8.8%,WIN,sell_signal
TRD_000040,2025-01-22 20:00,2025-01-23 04:00,0.33,LONG,103737.77,102679.46,-223.77,-1.22%,LOSS,sell_signal
TRD_000041,2025-01-24 20:00,2025-01-26 20:00,2.0,LONG,104901.96,102589.21,-435.58,-2.4%,LOSS,sell_signal
TRD_000042,2025-01-30 00:00,2025-02-01 20:00,2.83,LONG,105227.56,100605.46,-811.85,-4.59%,LOSS,sell_signal
TRD_000043,2025-02-14 04:00,2025-02-17 00:00,2.83,LONG,96973.17,96186.47,-170.59,-1.01%,LOSS,sell_signal
TRD_000044,2025-02-20 08:00,2025-02-23 04:00,2.83,LONG,97237.08,96479.9,-163.43,-0.98%,LOSS,sell_signal
TRD_000045,2025-03-02 16:00,2025-03-03 16:00,1.0,LONG,93550.06,85580.32,-1441.53,-8.71%,LOSS,stop_loss
TRD_000046,2025-03-06 04:00,2025-03-07 20:00,1.67,LONG,91373.88,86775.71,-789.7,-5.23%,LOSS,stop_loss
TRD_000047,2025-03-20 00:00,2025-03-22 00:00,2.0,LONG,85916.79,84231.46,-309.21,-2.16%,LOSS,sell_signal
TRD_000048,2025-03-24 04:00,2025-03-28 00:00,3.83,LONG,86900.58,86761.12,-50.48,-0.36%,LOSS,sell_signal
TRD_000049,2025-04-02 12:00,2025-04-03 12:00,1.0,LONG,86783.7,82014.7,-794.18,-5.69%,LOSS,stop_loss
TRD_000050,2025-04-11 12:00,2025-04-17 00:00,5.5,LONG,82546.5,83969.03,200.3,1.52%,WIN,sell_signal
TRD_000051,2025-04-19 00:00,2025-04-19 04:00,0.17,LONG,84909.18,85191.82,17.71,0.13%,WIN,sell_signal
TRD_000052,2025-04-19 08:00,2025-04-29 00:00,9.67,LONG,85242.97,94630.36,1445.44,10.8%,WIN,sell_signal
TRD_000053,2025-04-29 12:00,2025-04-30 12:00,1.0,LONG,94871.55,93976.43,-169.41,-1.14%,LOSS,sell_signal
TRD_000054,2025-05-01 08:00,2025-05-04 20:00,3.5,LONG,96208.86,94249.34,-327.56,-2.23%,LOSS,sell_signal
TRD_000055,2025-05-08 00:00,2025-05-13 16:00,5.67,LONG,99182.54,104760.78,776.5,5.42%,WIN,sell_signal
TRD_000056,2025-05-14 12:00,2025-05-15 08:00,0.83,LONG,103545.29,102340.9,-205.75,-1.36%,LOSS,sell_signal
TRD_000057,2025-05-16 12:00,2025-05-20 12:00,4.0,LONG,104214.58,105302.08,125.54,0.84%,WIN,sell_signal
TRD_000058,2025-05-20 16:00,2025-05-24 20:00,4.17,LONG,107058.58,107729.58,64.03,0.43%,WIN,sell_signal
TRD_000059,2025-05-27 12:00,2025-05-29 00:00,1.5,LONG,110173.15,108012.47,-325.84,-2.16%,LOSS,sell_signal
TRD_000060,2025-06-09 08:00,2025-06-13 00:00,3.67,LONG,107791.54,104245.94,-514.7,-3.49%,LOSS,sell_signal
TRD_000061,2025-06-16 16:00,2025-06-18 08:00,1.67,LONG,108684.6,104809.14,-536.12,-3.76%,LOSS,sell_signal
TRD_000062,2025-06-24 20:00,2025-07-01 12:00,6.67,LONG,106114.82,105923.39,-52.14,-0.38%,LOSS,sell_signal
TRD_000063,2025-07-03 12:00,2025-07-06 08:00,2.83,LONG,109160.58,108043.59,-166.98,-1.22%,LOSS,sell_signal
TRD_000064,2025-07-08 04:00,2025-07-08 12:00,0.33,LONG,108517.16,108235.87,-61.93,-0.46%,LOSS,sell_signal
TRD_000065,2025-07-09 12:00,2025-07-15 16:00,6.17,LONG,109104.04,116381.15,868.2,6.46%,WIN,sell_signal
TRD_000066,2025-07-27 12:00,2025-07-30 00:00,2.5,LONG,118621.32,118126.42,-88.21,-0.62%,LOSS,sell_signal
TRD_000067,2025-08-07 08:00,2025-08-13 04:00,5.83,LONG,116554.49,119544.53,335.82,2.36%,WIN,sell_signal
TRD_000068,2025-08-13 08:00,2025-08-15 12:00,2.17,LONG,120606.58,117240.04,-434.8,-2.99%,LOSS,sell_signal
TRD_000069,2025-09-05 04:00,2025-09-07 00:00,1.83,LONG,112988.21,110595.96,-326.76,-2.32%,LOSS,sell_signal
TRD_000070,2025-09-08 12:00,2025-09-20 08:00,11.83,LONG,112665.54,115859.29,362.86,2.63%,WIN,sell_signal
