strategy_key,strategy_name,symbol,timeframe,start,total_trades,win_rate_pct,profit_factor,total_return_pct,max_drawdown_pct,net_profit,pdf
strategy_01_tk_sell,Cloud-TK Base TK Exit,BTC/USDT,4h,2023-01-01,200,35.0,1.1353734802489253,63.59,42.97,6263.06,reports/BTC_4h_20251025_212034.pdf
strategy_02_tk_sell,Cloud-TK-SpanA Base TK Exit,BTC/USDT,4h,2023-01-01,200,35.0,1.1353734802489253,63.59,42.97,6263.06,reports/BTC_4h_20251025_212036.pdf
strategy_03_tk_sell,Cloud-TK-SpanA-ChikouPrice Base TK Exit,BTC/USDT,4h,2023-01-01,167,41.92,1.760525306356655,339.75,28.78,33974.68,reports/BTC_4h_20251025_212039.pdf
strategy_04_tk_sell,Cloud-TK-SpanA-ChikouCloud Base TK Exit,BTC/USDT,4h,2023-01-01,158,44.94,2.2295220038466397,624.98,17.92,62497.82,reports/BTC_4h_20251025_212041.pdf
strategy_05_tk_sell,Full Confirmation TK Exit,BTC/USDT,4h,2023-01-01,143,49.65,2.7284088343009483,847.1,17.85,84709.84,reports/BTC_4h_20251025_212044.pdf
strategy_06_span_sell,Cloud-TK Base Span Exit,BTC/USDT,4h,2023-01-01,1,0.0,0.0,503.0,30.65,-556.06,reports/BTC_4h_20251025_212046.pdf
strategy_07_span_sell,Cloud-TK-SpanA Base Span Exit,BTC/USDT,4h,2023-01-01,1,0.0,0.0,503.0,30.65,-556.06,reports/BTC_4h_20251025_212047.pdf
strategy_08_span_sell,Cloud-TK-SpanA-ChikouPrice Base Span Exit,BTC/USDT,4h,2023-01-01,0,0.0,0.0,561.53,0.0,0.0,reports/BTC_4h_20251025_212048.pdf
strategy_09_span_sell,Cloud-TK-SpanA-ChikouCloud Base Span Exit,BTC/USDT,4h,2023-01-01,0,0.0,0.0,543.93,0.0,0.0,reports/BTC_4h_20251025_212049.pdf
strategy_10_span_sell,Full Confirmation Span Exit,BTC/USDT,4h,2023-01-01,0,0.0,0.0,543.93,0.0,0.0,reports/BTC_4h_20251025_212049.pdf
strategy_11_tk_span_sell,Cloud-TK Base TK+Span Exit,BTC/USDT,4h,2023-01-01,200,35.0,1.1353734802489253,63.59,42.97,6263.06,reports/BTC_4h_20251025_212050.pdf
strategy_12_tk_span_sell,Cloud-TK-SpanA Base TK+Span Exit,BTC/USDT,4h,2023-01-01,200,35.0,1.1353734802489253,63.59,42.97,6263.06,reports/BTC_4h_20251025_212053.pdf
strategy_13_tk_span_sell,Cloud-TK-SpanA-ChikouPrice Base TK+Span Exit,BTC/USDT,4h,2023-01-01,167,41.92,1.760525306356655,339.75,28.78,33974.68,reports/BTC_4h_20251025_212055.pdf
strategy_14_tk_span_sell,Cloud-TK-SpanA-ChikouCloud Base TK+Span Exit,BTC/USDT,4h,2023-01-01,158,44.94,2.2295220038466397,624.98,17.92,62497.82,reports/BTC_4h_20251025_212058.pdf
strategy_15_tk_span_sell,Full Confirmation TK+Span Exit,BTC/USDT,4h,2023-01-01,143,49.65,2.7284088343009483,847.1,17.85,84709.84,reports/BTC_4h_20251025_212100.pdf
